Report Name: LNDEMO_EQ_ASIA_ESG_ATTR_BRINSON,,,,,,,,,,,,,,
Portfolio: LPDEMO_ASIA_ESG,,,,,,,,,,,,,,
Benchmark: MXAP,,,,,,,,,,,,,,
Run Date: 07/22/2020,,,,,,,,,,,,,,
Period: 12/31/2019 - 07/21/2020,,,,,,,,,,,,,,
Base Currency: USD,,,,,,,,,,,,,,
Classification: BICS Sector,,,,,,,,,,,,,,
Level,Name,Avg % Wgt[P],Avg % Wgt[B],Avg % Wgt[D],CTR[P],CTR[B],CTR[D],Tot Rtn[P],Tot Rtn[B],Tot Rtn[D],Tot Attr,Alloc,Selec,Curr
2,4755 JP,,0.0796111,-0.0796111,,0.00968344,-0.00968344,,9.15753829,-9.15753829,0.0006305,,0.00222659,-0.00159609
2,4904 TT,,0.03919063,-0.03919063,,-0.00189263,0.00189263,,-5.26322759,5.26322759,0.00164102,,0.00225583,-0.00061481
2,600050 C1,,0.01503144,-0.01503144,,-0.00223115,0.00223115,,-9.95047832,9.95047832,0.00114572,,0.00097378,0.00017194
2,600118 C1,,0.00357827,-0.00357827,,0.00116071,-0.00116071,,61.46199977,-61.46199977,-0.00010011,,-0.00013858,0.00003847
2,600373 C1,,0.00168252,-0.00168252,,-0.00002506,0.00002506,,2.91168003,-2.91168003,0.00008265,,0.00007307,0.00000958
2,600487 C1,,0.00307554,-0.00307554,,0.00006539,-0.00006539,,8.09127417,-8.09127417,0.00012316,,0.00008377,0.00003939
2,600498 C1,,0.00340375,-0.00340375,,0.00017926,-0.00017926,,9.91596009,-9.91596009,0.00012228,,0.00007847,0.00004381
2,600522 C1,,0.0030042,-0.0030042,,0.00107189,-0.00107189,,44.97469109,-44.97469109,-0.00007009,,-0.00009827,0.00002818
2,601098 C1,,0.00188942,-0.00188942,,-0.00007301,0.00007301,,-2.64995785,2.64995785,0.00010463,,0.00009234,0.00001229
2,601360 C1,,0.00303083,-0.00303083,,-0.00038035,0.00038035,,-15.27306525,15.27306525,0.00023162,,0.00023929,-0.00000767
2,603712 C1,,0.00062745,-0.00062745,,0.00089958,-0.00089958,,46.31646637,-46.31646637,-0.00011438,,-0.00006374,-0.00005064
